NAICS_SECTOR,INSTRUMENT_ID,ANSWER_ID,ESTIMATE_PERCENTAGE,SE
42 ,19,6,  15.0%,  0.44%
42 ,19,7,   5.0%,  0.36%
42 ,19,8,  32.6%,  0.97%
42 ,20,1,   0.5%,  0.08%
42 ,20,2,   3.8%,  0.25%
42 ,20,3,  14.8%,  0.48%
42 ,20,4,  47.8%,  0.39%
42 ,20,5,   7.9%,  0.46%
42 ,20,6,   1.7%,  0.21%
42 ,20,7,  14.4%,  0.37%
42 ,20,8,   9.0%,  0.37%
44 ,2,1,  25.2%,  0.63%
44 ,2,2,  40.4%,  0.95%
44 ,2,3,  16.6%,  0.63%
44 ,2,4,  12.7%,  0.95%
44 ,2,5,   5.0%,  0.31%
44 ,3,1,   3.9%,  0.39%
44 ,3,2,   1.2%,  0.29%
44 ,3,3,   2.3%,  0.37%
44 ,3,4,   6.3%,  0.51%
44 ,3,5,  17.6%,  0.74%
44 ,3,6,  19.6%,  0.68%
44 ,3,7,  11.3%,  0.54%
44 ,3,8,  16.8%,  0.69%
44 ,3,9,  13.5%,  0.56%
44 ,3,10,   7.3%,  0.67%
44 ,4,1,  10.7%,  0.59%
44 ,4,2,  34.5%,  0.69%
44 ,4,3,  54.8%,  0.76%
44 ,5,1,   0.5%,  0.20%
44 ,5,2,   1.2%,  0.20%
44 ,5,3,   1.7%,  0.30%
44 ,5,4,  96.7%,  0.33%
44 ,6,1,   6.3%,  0.32%
44 ,6,2,   7.8%,  0.67%
44 ,6,3,  85.9%,  0.70%
44 ,7,1,   2.9%,  0.18%
44 ,7,2,  40.7%,  0.73%
44 ,7,3,  56.5%,  0.76%
44 ,8,1,   6.3%,  0.37%
44 ,8,2,  11.3%,  0.59%
44 ,8,3,  82.4%,  0.69%
44 ,9,1,   1.2%,  0.33%
44 ,9,2,   1.7%,  0.12%
44 ,9,3,  28.6%,  1.10%
44 ,9,4,  68.4%,  1.07%
44 ,10,1,  50.9%,  0.93%
44 ,10,2,  21.5%,  0.99%
44 ,10,3,  19.7%,  1.09%
44 ,10,4,   7.7%,  0.51%
44 ,10,5,  11.7%,  0.64%
44 ,10,6,  32.6%,  0.89%
44 ,10,7,  38.9%,  1.20%
44 ,11,1,   6.4%,  0.45%
44 ,11,2,  10.1%,  0.52%
44 ,11,3,   1.4%,  0.35%
44 ,11,4,   8.2%,  0.81%
44 ,11,5,  16.9%,  0.83%
44 ,11,6,   4.4%,  0.61%
44 ,11,7,  20.2%,  0.86%
44 ,11,8,  60.4%,  0.98%
44 ,12,1,   2.1%,  0.38%
44 ,12,2,  11.1%,  0.75%
44 ,12,3,  43.3%,  0.50%
44 ,12,4,  31.7%,  1.10%
44 ,12,5,  11.8%,  0.85%
44 ,13,1,   6.4%,  0.65%
44 ,13,2,  10.8%,  0.93%
44 ,13,3,  16.1%,  0.88%
44 ,13,4,  25.2%,  0.70%
44 ,13,5,  21.8%,  1.06%
44 ,13,6,   3.4%,  0.57%
44 ,13,7,  16.2%,  0.47%
44 ,14,1,   2.7%,  0.40%
44 ,14,2,  97.3%,  0.40%
44 ,15,1,   9.1%,  0.64%
44 ,15,2,  90.9%,  0.64%
44 ,16,1,  75.9%,  0.87%
44 ,16,2,  26.2%,  1.18%
44 ,16,3,  16.1%,  0.80%
44 ,16,4,   1.0%,  0.24%
44 ,16,5,   0.5%,  0.15%
44 ,16,6,   2.9%,  0.46%
44 ,16,7,   0.3%,  0.12%
44 ,16,8,   1.3%,  0.13%
44 ,16,9,   7.0%,  0.39%
44 ,16,10,   4.6%,  0.47%
44 ,16,11,   9.9%,  0.79%
44 ,16,12,   3.1%,  0.45%
44 ,16,13,   2.9%,  0.40%
44 ,16,14,  16.6%,  0.65%
44 ,17,1,  74.5%,  0.95%
44 ,17,2,  23.2%,  1.20%
44 ,17,3,  10.6%,  0.65%
44 ,17,4,   0.3%,  0.12%
44 ,17,5,   0.5%,  0.17%
44 ,17,6,   2.6%,  0.34%
44 ,17,7,   0.2%,  0.08%
44 ,17,8,   1.4%,  0.20%
44 ,17,9,  20.9%,  0.85%
44 ,18,1,  30.7%,  0.84%
44 ,18,2,  32.2%,  1.04%
44 ,18,3,  37.0%,  1.07%
44 ,19,1,  20.9%,  1.00%
44 ,19,2,  22.5%,  1.07%
44 ,19,3,  23.1%,  0.76%
44 ,19,4,  37.8%,  1.00%
44 ,19,5,  14.6%,  1.00%
44 ,19,6,  24.3%,  0.82%
44 ,19,7,   4.4%,  0.53%
44 ,19,8,  32.4%,  1.08%
44 ,20,1,   0.9%,  0.19%
44 ,20,2,   3.3%,  0.39%
44 ,20,3,  12.6%,  0.57%
44 ,20,4,  41.0%,  1.40%
44 ,20,5,   8.9%,  0.68%
44 ,20,6,   1.8%,  0.32%
44 ,20,7,  15.7%,  0.98%
44 ,20,8,  15.7%,  0.63%
48 ,2,1,  34.1%,  1.62%
48 ,2,2,  39.8%,  2.10%
48 ,2,3,  20.1%,  1.27%
48 ,2,4,   4.5%,  0.84%
48 ,2,5,   1.5%,  0.39%
48 ,3,1,   8.3%,  0.61%
